cdi,pl,lo,pn,ld,t,cb,ct,c,fr,hr,lc,lt,situation,id
"8729749393070","Commercial Auto Line","open","#!C #L#!Y$@4! 3#@8!@41$!2#@B$!C","","14.09.2025 09:45:26","Manchester Money Market","high","EUR","non-fault","web","While trying to take a selfie with a dolphin at the aquarium, my phone slipped out of my hand and fell into the dolphin tank.","motor","NIR","26.07.2023 21:45:43"
"4614510896630","Commercial Auto Line","open","$ C!@L $Y $6@4$#1$8@2#3! PW","28.04.2021","03.05.2028 11:22:56","Cardiff Capital Consultants","low","EUR","fault","phone","I thought it would be fun to have a contest to see who could hold their breath the longest underwater in the bathtub, but we forgot to account for the overflowing water.","motor","NIR","26.07.2023 21:45:43"
"6468372525895","Commercial Auto Line","open","!#C #L# Y$07@$18 #4#6#Z# Y","17.04.2019","24.02.2024 06:33:02","Southampton Securities","low","GBP","fault","phone","I decided to test the endurance of my running shoes by participating in a marathon, but they fell apart halfway through the race.","motor","SCO","26.07.2023 21:45:43"
"3133112122279","Personal Auto Line",""," CL!@Y!#9!#88#@7#$2@7B!#N","03.03.2021","","Bristol Capital Advisors","low","GBP","unknown","web","I thought it would be entertaining to try a new hair dye color at home, but I accidentally dyed my hair a bright shade of neon green.","motor","SCO","26.07.2023 21:45:43"
"3730374106187","Property","","!$C@#L! Y5@$3$ 8!#0@$75Q$!Q","27.11.2018","17.11.2025 06:40:39","Dundee Investment Services","high","EUR","not applicable","phone","While trying to balance on a tightrope, I lost my footing and crashed into a picnic table full of food.","motor","WAL","26.07.2023 21:45:43"
"316620035953","Commercial Auto Line","closed","$#C# L$@Y!5! 9$3 $98#1$E$ W","27.09.2021","08.11.2027 18:08:13","Belfast Business Finance","low","EUR","unknown","phone","","motor","SCO","26.07.2023 21:45:43"
"9213751205002","Commercial Auto Line","closed"," CL #Y #3#182$6#$2@G$M","12.07.2021","01.03.2024 08:02:49","Bristol Bankers","low","GBP","fault","phone","I decided to test the durability of my running shoes by participating in a marathon, but they fell apart halfway through the race.","motor","ENG","26.07.2023 21:45:43"
"3746972255566","Property","closed","! C $L$!Y$@7#!1#62! 9#$8$@E #Y","29.08.2020","16.09.2025 18:07:36","Leeds Lending Services","low","GBP","fault","mail","While trying to take a selfie with a statue, I accidentally knocked it over and broke it into pieces.","motor","ENG","26.07.2023 21:45:43"
"9307139140346","Personal Auto Line","open","$ C $L@$Y!$7$@2 #1#$11#1@PG","04.02.2021","10.07.2024 07:06:23","Oxfordshire Brokers","low","EUR","not applicable","web","I thought it would be entertaining to try juggling eggs, but they slipped out of my hands and made a mess all over the kitchen floor.","motor","ENG","26.07.2023 21:45:43"
"1949644139476","Commercial Auto Line","closed","!@C@!L Y 31!$5#$5 !7$ 8@!KI","06.04.2023","04.11.2025 04:43:44","Cambridge Currency Traders","low","EUR","non-fault","phone","While attempting to capture a spider in my house, I accidentally knocked over a shelf, causing a chain reaction that toppled multiple shelves.","motor","WAL","26.07.2023 21:45:43"
