eid,cid,et,tp,id
"2896041289532","8729749393070","Vehicle","217,37","26.07.2023 21:45:43"
"5715578878220","4614510896630","Vehicle","32311,02","26.07.2023 21:45:43"
"6398147654004","6468372525895","Bodily Injury","45170,13","26.07.2023 21:45:43"
"4460944944009","3133112122279","Bodily Injury","41728,33","26.07.2023 21:45:43"
"9854101901395","3730374106187","Property","31051,15","26.07.2023 21:45:43"
"8234283181033","316620035953","Property","35861,14","26.07.2023 21:45:43"
"2911402487834","9213751205002","Bodily Injury","31569,85","26.07.2023 21:45:43"
"942516376778","3746972255566","Bodily Injury","3370,41","26.07.2023 21:45:43"
"6102339545047","9307139140346","Bodily Injury","34317,71","26.07.2023 21:45:43"
"6460385605876","1949644139476","Property","22598,03","26.07.2023 21:45:43"
"2827462919654","7675866815892","Bodily Injury","31652,31","26.07.2023 21:45:43"
"4755530405770","5097426327288","Bodily Injury","33698,46","26.07.2023 21:45:43"
"6175608586009","3163364665166","Vehicle","42815,18","26.07.2023 21:45:43"
"1334082675710","7069816105447","Bodily Injury","24478,61","26.07.2023 21:45:43"
"8819783997641","3924099950385","Bodily Injury","21819,09","26.07.2023 21:45:43"
"1480159202899","7582127149813","Property","15618,27","26.07.2023 21:45:43"
"6412952612826","6485086584383","Vehicle","7336,88","26.07.2023 21:45:43"
"1371956005057","4184638519519","Bodily Injury","40652,14","26.07.2023 21:45:43"
"6759308812840","261014483751","Property","45927,93","26.07.2023 21:45:43"
"6756977171616","4332249321178","Bodily Injury","21595,34","26.07.2023 21:45:43"
"907173286406","923782067153","Bodily Injury","18269,93","26.07.2023 21:45:43"
"6862620146833","9275840808257","Property","19328,09","26.07.2023 21:45:43"
"6029047608014","4236936114521","Vehicle","17462,54","26.07.2023 21:45:43"
"9574209662047","4986646196263","Vehicle","12838,64","26.07.2023 21:45:43"
"1213469447402","7419281170801","Property","27525,26","26.07.2023 21:45:43"
"7522291789942","9475855953404","Property","13832,07","26.07.2023 21:45:43"
"7560864373014","9661011857406","Bodily Injury","11367,69","26.07.2023 21:45:43"
"8182832881616","108997045268","Vehicle","19213,36","26.07.2023 21:45:43"
"1764833555469","9157350560105","Property","26035,03","26.07.2023 21:45:43"
"2269132490734","888728658113","Property","44468,64","26.07.2023 21:45:43"
"667317003940","5415802092219","Bodily Injury","45829,41","26.07.2023 21:45:43"
"5459764028517","2280304428097","Property","35493,57","26.07.2023 21:45:43"
"4980982566521","7726202384343","Property","3754,88","26.07.2023 21:45:43"
"7401894888075","6316903556275","Vehicle","15481,42","26.07.2023 21:45:43"
"3048963850158","8914095546104","Vehicle","40973,07","26.07.2023 21:45:43"
"4183647434415","4153738884668","Vehicle","17045,67","26.07.2023 21:45:43"
"9146605404526","8225029628707","Vehicle","29093,88","26.07.2023 21:45:43"
"7732997305131","3154915236188","Vehicle","36005,94","26.07.2023 21:45:43"
"9975554271080","3688357295023","Property","16637,61","26.07.2023 21:45:43"
"5623359577398","8373371124446","Bodily Injury","5550,02","26.07.2023 21:45:43"
"9999005220220","7126919207929","Vehicle","40236,40","26.07.2023 21:45:43"
"7840511544049","9805431238398","Property","48984,91","26.07.2023 21:45:43"
"8215225610266","6230639689377","Property","39358,25","26.07.2023 21:45:43"
"1410384602151","6070607450202","Bodily Injury","44132,61","26.07.2023 21:45:43"
"9074705771172","9044649202567","Property","27096,56","26.07.2023 21:45:43"
"7528533614131","2795097052782","Property","45324,31","26.07.2023 21:45:43"
"8823456893675","745477052369","Vehicle","7069,20","26.07.2023 21:45:43"
"8715623677928","3297535637513","Bodily Injury","37208,50","26.07.2023 21:45:43"
"8878120203889","7980935351266","Bodily Injury","29610,05","26.07.2023 21:45:43"
"1329156321231","1655616560061","Bodily Injury","34434,79","26.07.2023 21:45:43"
"3486461706849","3097416671597","Vehicle","25154,46","26.07.2023 21:45:43"
"9002116339582","9264527126393","Property","11991,45","26.07.2023 21:45:43"
"7845194178986","7761695989275","Vehicle","1884,90","26.07.2023 21:45:43"
"5643184868356","4816608024568","Property","12132,21","26.07.2023 21:45:43"
"870786596579","5342680023013","Bodily Injury","43381,63","26.07.2023 21:45:43"
"2733858625574","2915092610211","Bodily Injury","1796,85","26.07.2023 21:45:43"
"4191625970286","6840828654332","Vehicle","38852,41","26.07.2023 21:45:43"
